name,category,area,ownership_type,verified_source,notes
6:01 Local,restaurant,downtown,independent,https://downtownmeridian.org/explore/eat-drink/,Southern cuisine; in the Threefoot Hotel
Aie's Taste of Thai,restaurant,downtown,independent,https://downtownmeridian.org/explore/eat-drink/,Thai; Front Street
Amore Italian Ristorante & Bar,restaurant,downtown,independent,https://www.amoreristorantebar.com,Italian in historic home
Antique Mall of Meridian,retail,,independent,https://www.tripadvisor.com/Attraction_Review-g43893-d6800588,Antiques; 1411 Roebuck Dr
Atrium Mini Mall,retail,,independent,https://visitmeridian.com/things_to_do/atrium-mini-mall/,Antiques/collectibles
Belle G Boutique,retail,downtown,independent,https://www.bellegboutique.com,Apparel/gifts/home; bridal registry
Binke's Restaurant,restaurant,,independent,https://www.restaurantji.com/ms/meridian/,Longtime soul food spot; 414 39th Ave
Boxcar Rooftop Restaurant,restaurant,downtown,independent,https://thethreefoothotel.com/eat-drink/,Rooftop shareables and cocktails
Breaux Bridge Meridian,restaurant,south,independent,https://www.restaurantji.com/ms/meridian/,Cajun/seafood; S Frontage Rd
Brickhaus Brewtique,restaurant,downtown,independent,http://brickhausbar.com,Locally owned bar & grill; live music
Bucky's On 5th,entertainment,downtown,independent,https://www.restaurantji.com/ms/meridian/,Bar & grill; 2419 5th St
Cater's at the Museum (Cater's Market),restaurant,downtown,independent,https://catersmarket.com,Gourmet market and lunch
Chick-fil-A Meridian,restaurant,south,franchise-assumed-local,https://www.restaurantji.com/ms/meridian/,CFA locations run by local owner-operators; confirm operator before featuring
Chicken Basket,restaurant,downtown,independent,https://www.restaurantji.com/ms/meridian/,Owner works the line; 903 Front St
Citizens National Bank,services,,independent,existing directory (cnbms.com),Community bank headquartered in Meridian
CLUB4 Fitness - Meridian,fitness,,independent,https://www.club4fitness.com/location/meridian/,Family-owned regional chain (since 2002); not corporate big-box
Complete Family Dentistry (Avara & Lott DMD),services,,independent,http://www.completefamilydentistry.net,Dental
Country Boys Farm to Table Fresh Market,retail,,independent,https://visitmeridian.com/eats/,Butcher / specialty grocery
Crooked Letter,retail,downtown,independent,https://www.crookedletter.shop,100+ Mississippi makers
Daily Grind (The),coffee,north,independent,https://www.restaurantji.com/ms/meridian/,Coffee shop & cafe; Poplar Springs Dr
DC Guitar Studio,retail,downtown,independent,http://www.dcguitarstudio.com,Guitars and lessons
Don Cheques Taqueria,restaurant,north,independent,https://www.restaurantji.com/ms/meridian/,Mexican; Poplar Springs Dr
Don P's Taste of the Bayou,restaurant,downtown,independent,https://downtownmeridian.org/explore/eat-drink/,Cajun; Front Street
DOSHA Balanced Aesthetics & Wellness,salon-spa,downtown,independent,https://www.doshabalanced.com,Med spa / wellness
Dough-Re-Mi,restaurant,downtown,independent,https://downtownmeridian.org/explore/eat-drink/,Organic sourdough bakery
Ed Chaney Tire Pros,auto,,franchise-assumed-local,https://edchaneytirepros.com,Local family business since 1987 under Tire Pros banner
Elevate Nutrition,coffee,north,independent,https://www.restaurantji.com/ms/meridian/,Smoothie/tea bar; Hwy 39
Event Zona Meridian,entertainment,,independent,https://eventzonabowl.com/locations/meridian-ms/,"Bowling, arcade, trampoline; small MS-based family entertainment group (Tupelo/Columbus/Meridian)"
Eye Clinic of Meridian,services,,independent,https://www.eyeclinicofmeridian.com,Optometry
Family Flea Market,retail,,independent,https://www.familyfleamarket.net,Largest indoor flea market in East MS
